Datos de series

Total Nacional. General. Variación trimestral. 
Serie,IPV949
Periodicidad,Trimestral
Unidad,Tasas
DATOS
PERIODO,VALOR,TIPO DATO,NOTA
2025T2,4,0,Definitivo,
2025T1,3,5,Definitivo,
2024T4,1,8,Definitivo,
2024T3,2,8,Definitivo,
2024T2,3,6,Definitivo,
2024T1,2,6,Definitivo,
2023T4,-1,1,Definitivo,
2023T3,2,5,Definitivo,
2023T2,2,1,Definitivo,
2023T1,0,6,Definitivo,
2022T4,-0,8,Definitivo,
2022T3,1,7,Definitivo,
2022T2,1,9,Definitivo,
2022T1,2,6,Definitivo,
2021T4,1,2,Definitivo,
2021T3,2,1,Definitivo,
2021T2,2,4,Definitivo,
2021T1,0,5,Definitivo,
2020T4,-0,8,Definitivo,
2020T3,1,1,Definitivo,
2020T2,0,1,Definitivo,
2020T1,1,1,Definitivo,
2019T4,-0,6,Definitivo,
2019T3,1,6,Definitivo,
2019T2,1,2,Definitivo,
2019T1,1,5,Definitivo,
2018T4,0,4,Definitivo,
2018T3,2,2,Definitivo,
2018T2,2,6,Definitivo,
2018T1,1,4,Definitivo,
2017T4,0,9,Definitivo,
2017T3,1,8,Definitivo,
2017T2,2,0,Definitivo,
2017T1,2,3,Definitivo,
2016T4,0,4,Definitivo,
2016T3,0,8,Definitivo,
2016T2,1,8,Definitivo,
2016T1,1,5,Definitivo,
2015T4,-0,1,Definitivo,
2015T3,0,7,Definitivo,
2015T2,4,2,Definitivo,
2015T1,-0,6,Definitivo,
2014T4,0,2,Definitivo,
2014T3,0,2,Definitivo,
2014T2,1,7,Definitivo,
2014T1,-0,3,Definitivo,
2013T4,-1,3,Definitivo,
2013T3,0,7,Definitivo,
2013T2,-0,8,Definitivo,
2013T1,-6,6,Definitivo,
2012T4,-1,4,Definitivo,
2012T3,-3,8,Definitivo,
2012T2,-3,3,Definitivo,
2012T1,-5,0,Definitivo,
2011T4,-4,2,Definitivo,
2011T3,-2,8,Definitivo,
2011T2,-1,2,Definitivo,
2011T1,-3,5,Definitivo,
2010T4,-0,1,Definitivo,
2010T3,-2,2,Definitivo,
2010T2,1,6,Definitivo,
2010T1,-1,2,Definitivo,
2009T4,-0,4,Definitivo,
2009T3,-0,9,Definitivo,
2009T2,-0,4,Definitivo,
2009T1,-2,7,Definitivo,
2008T4,-3,1,Definitivo,
2008T3,-1,7,Definitivo,
2008T2,-0,3,Definitivo,
2008T1,-0,4,Definitivo,
2007T4,-0,7,Definitivo,
2007T3,1,1,Definitivo,
2007T2,2,9,Definitivo,
2007T1,2,4,Definitivo,

Dato: .. Dato no disponible
Dato: . Protegido por secreto estadístico
